Company Name,Company url,ROP,Title,TN,Meta,MN,LVTN,LVDN,Links,Word,DCNAIH,RatioWL,External,Internal,We,Et,RV
arup,arup.com,1,1,1,1,1,64,4,365,1244,1,3.408219178,6,359,207.3333333,0.01643835616,1
asda,asda.com,1,1,1,1,1,43,4,0,17,1,0,0,0,0,0,1
astrazeneca,astrazeneca.com,1,1,1,2,2,44,4,123,0,1,0,19,104,0,0.1544715447,1
at&t,att.com,1,1,1,4,4,61,5,58,913,1,15.74137931,0,58,0,0,1
atkins,atkinsglobal.com,1,1,1,1,0.5,12,10,96,839,1,8.739583333,52,44,16.13461538,0.5416666667,1
atlas copco,atlascopco.com,1,1,1,0,0,28,5,0,0,1,0,0,0,0,0,1
atos,atos.net,1,1,1,1,1,9,5,364,2015,1,5.535714286,23,341,87.60869565,0.06318681319,1
auchan,auchan.fr,1,1,1,4,4,44,3,226,1108,1,4.902654867,33,193,33.57575758,0.1460176991,1
aucune,m.interglot.com,1,0,0,5,5,44,15,0,0,0,0,0,0,0,0,1
aurora health care,aurorahealthcare.org,1,1,1,0,0,11,6,142,2433,1,17.13380282,40,102,60.825,0.2816901408,1
autônoma,amazon.in,1,0,0,0,0,92,8,0,0,0,0,0,0,0,0,1
autonomo,linkedin.com,1,0,0,1,1,23,10,0,0,0,0,0,0,0,0,0
aviva,avivaindia.com,1,1,1,1,1,6,9,377,5842,1,15.49602122,61,316,95.7704918,0.1618037135,1
avon,avon.co.in,1,1,1,3,3,84,6,320,1119,1,3.496875,23,297,48.65217391,0.071875,1
axa,axa.com,1,1,1,1,1,9,4,23,248,1,10.7826087,2,21,124,0.08695652174,1
axis bank,axisbank.com,1,1,1,0,0,81,5,497,0,1,0,122,375,0,0.245472837,1
"ayatama energi, trisco nusantara",good.com,1,1,1,2,0.5,36,30,212,1043,1,4.919811321,56,156,18.625,0.2641509434,0
bae systems,baesystems.com,1,1,1,1,0.5,25,6,259,0,1,0,44,215,0,0.1698841699,1
baker hughes,bakerhughes.com,1,1,1,1,0.5,10,5,1069,3152,1,2.948550047,49,1020,64.32653061,0.04583723106,1
banco do brasil,bb.com.br,1,0,0,0,0,16,11,1,5,0,5,0,1,0,0,1
banco santander,bancosantander.es,1,1,1,1,0.5,18,5,219,1683,1,7.684931507,25,193,67.32,0.1141552511,1
bank of america,bankofamerica.com,1,2,2,1,0.33,55,6,188,2362,1,12.56382979,63,125,37.49206349,0.335106383,1
bank of america merrill lynch,bofaml.com,1,2,2,3,1,48,21,100,882,1,8.82,31,69,28.4516129,0.31,1
banner health,bannerhealth.com,1,1,1,2,1,116,5,83,831,1,10.01204819,8,75,103.875,0.09638554217,1
barclays,home.barclays,1,2,2,2,2,36,6,23,831,1,36.13043478,4,19,207.75,0.1739130435,1
barclays investment bank,investmentbank.barclays.com,1,1,1,1,0.5,21,23,223,2289,1,10.26457399,21,192,109,0.09417040359,1
basf,basf.com,1,1,1,1,1,19,4,53,259,1,4.886792453,14,39,18.5,0.2641509434,1
baxter international inc.,baxter.com,1,1,1,0,0,44,19,141,1371,1,9.723404255,8,133,171.375,0.05673758865,1
bayer,bayer.com,1,1,1,0,0,21,5,282,282,1,1,282,282,1,1,1
bayer healthcare,bayer.com,1,1,1,1,0.5,19,10,282,282,1,1,282,282,1,1,1
bb&t,bbt.com,1,1,1,1,1,95,5,0,0,1,0,0,0,0,0,1
bbc,bbc.com,1,1,1,1,1,13,4,271,1643,1,6.062730627,45,276,36.51111111,0.1660516605,1
bbva,bbva.com,1,1,1,3,3,42,4,698,2326,1,3.332378223,239,459,9.732217573,0.3424068768,1
bd,bd.com,1,1,1,1,1,48,5,255,916,1,3.592156863,15,240,61.06666667,0.05882352941,1
bechtel corporation,bechtel.com,1,1,1,2,2,47,11,213,816,1,3.830985915,9,204,90.66666667,0.04225352113,1
bell,bell.ca,1,1,1,1,1,81,3,325,0,1,0,120,205,0,0.3692307692,1
best buy,bestbuy.com,1,1,1,2,2,62,5,0,0,1,0,0,0,0,0,1
bhp billiton,bhp.com,1,0,0,0,0,13,9,0,0,0,0,0,0,0,0,1
"biocolloids fate and transport in environmental systems, network biomet",apollo.io,1,0,0,1,0.2,72,65,0,0,0,0,0,0,0,0,0
blackrock,blackrock.com,1,1,1,2,2,48,5,121,1816,1,15.00826446,40,81,45.4,0.3305785124,1
bloomberg lp,bloomberg.com,1,1,1,1,1,18,5,4,1816,1,454,0,4,0,0,1
bmo financial group,bmo.com,1,1,1,1,1,46,14,367,1307,1,3.561307902,55,312,23.76363636,0.1498637602,1
"""cecaci"" centro de capacitacion comercial e industrial",https://mx.linkedin.com,2,1,0.1666666667,2,0.3333333333,47,47,85,493,1,5.8,64,69,7.703125,0.7529411765,0
3m health care,https://www.3mindia.in,2,1,0.3333333333,0,0,14,21,85,0,1,0,0,0,0,0,1
abb,https://new.abb.com,2,1,1,2,2,55,16,203,1650,1,8.128078818,103,577,16.01941748,0.5073891626,1
abbott,https://www.abbott.co.in,2,2,2,2,2,54,18,28,368,1,13.14285714,112,599,3.285714286,4,1
abbvie,https://www.linkedin.com,2,1,1,1,1,13,22,85,506,1,5.952941176,123,696,4.113821138,1.447058824,0
abn amro bank n.v.,https://www.abnamro.com,2,0,0,1,1,13,20,,0,1,0,0,0,0,0,1
absa,https://www.absabank.co.ke,2,1,1,2,2,20,22,44,322,1,7.318181818,10,43,32.2,0.2272727273,1
accenture,https://www.accenture.com,2,1,1,1,1,23,16,117,4,1,0.03418803419,21,154,0.1904761905,0.1794871795,1
accenture in india,https://www.accenture.com,2,1,1,1,1,10,21,117,4,1,0.03418803419,21,154,0.1904761905,0.1794871795,1
accorhotels,https://group.accor.com,2,0,0,0,0,38,20,222,2231,0,10.04954955,37,361,60.2972973,0.1666666667,1
adecco,https://www.adecco.co.in,2,0,0,1,1,7,18,36,651,1,18.08333333,46,380,14.15217391,1.277777778,1
adecco group,https://www.adecco.com,2,0,0,0,0,9,17,62,121,0,1.951612903,89,400,1.359550562,1.435483871,1
adidas,https://www.adidas.com,2,2,2,3,3,29,16,4,0,1,0,0,0,0,0,1
adobe,https://adobeacrobat.app.link,2,1,1,1,1,44,24,38,2021,1,53.18421053,0,0,0,0,1
adp,https://www.linkedin.com,2,1,1,2,2,13,23,85,506,1,5.952941176,12,138,42.16666667,0.1411764706,0
advocare,https://en.wikipedia.org,2,1,1,1,1,14,22,269,1377,1,5.118959108,91,154,15.13186813,0.3382899628,0
aecom,https://en.wikipedia.org,2,1,1,3,3,16,22,269,1377,1,5.118959108,91,154,15.13186813,0.3382899628,0
aerotek,https://www.aerotek.com,2,1,1,1,1,47,16,67,350,1,5.223880597,8,50,43.75,0.1194029851,1
aetna,https://www.aetnainternational.com,2,1,1,0,0,48,29,91,1741,1,19.13186813,0,0,0,0,1
aflac,https://en.wikipedia.org,2,1,1,1,1,13,23,269,1377,1,5.118959108,91,154,15.13186813,0.3382899628,0
agilent technologies,https://www.agilent.com,2,0,0,0,0,17,22,26,370,0,14.23076923,39,123,9.487179487,1.5,1
aig,https://www.aig.com,2,1,1,2,2,14,16,36,570,1,15.83333333,11,27,51.81818182,0.3055555556,1
aim,https://www.merriam-webster.com,2,1,1,3,3,40,29,129,789,1,6.11627907,20,113,39.45,0.1550387597,1
air france,htpps://wwws.airfrance.us,2,1,0.5,2,1,56,17,0,0,1,0,0,0,0,0,1
air liquide,https://www.airliquide.com,2,1,0.5,1,0.5,43,17,267,2496,1,9.348314607,33,225,75.63636364,0.1235955056,1
airbus,https://www.airbus.com,2,1,1,1,1,15,16,422,1635,1,3.874407583,20,401,81.75,0.04739336493,1
airtel,https://www.bd.airtel.com,2,1,1,1,1,1,19,3,58,1,19.33333333,1,3,58,0.3333333333,1
aker solutions,https://www.linkedin.com,2,1,0.5,1,0.5,13,22,85,506,1,5.952941176,11,97,46,0.1294117647,0
akzonobel,https://www.akzonobel.com,2,1,1,0,0,14,16,44,562,1,12.77272727,12,40,46.83333333,0.2727272727,1
alberta health services,https://myhealth.alberta.ca,2,0,0,1,1,35,19,0,336,1,0,0,0,0,0,1
"alcon, a novartis company",https://en.wikipedia.org,2,0,0,0,0,17,23,269,194,0,0.7211895911,91,154,2.131868132,0.3382899628,0
allergan,https://en.wikipedia.org,2,1,1,2,2,13,22,269,1377,1,5.118959108,9,313,153,0.03345724907,0
allianz,https://www.allianz.com,2,1,1,2,2,12,16,129,904,1,7.007751938,0,0,0,0,1
allstate,https://en.wikipedia.org,2,1,,1,1,13,22,269,1377,1,5.118959108,91,188,15.13186813,0.3382899628,0
alstom,https://en.wikipedia.org,2,1,1,1,1,13,22,69,1377,1,19.95652174,91,188,15.13186813,1.31884058,0
altran,https://www.linkedin.com,2,1,1,1,1,12,22,85,506,1,5.952941176,11,97,46,0.1294117647,0
amazon,https://www.amazon.com,2,2,2,3,3,19,16,2,54,1,27,0,2,0,0,1
amazon web services,https://en.wikipedia.org,2,1,0.3333333333,2,0.3333333333,15,21,269,1377,1,5.118959108,91,188,15.13186813,0.3382899628,0
amdocs,https://www.linkedin.com,2,1,1,2,2,12,22,85,506,1,5.952941176,11,97,46,0.1294117647,0
american airlines,https://www.americanairlines.ie,2,1,0.5,1,0.5,41,16,61,0,1,0,0,0,0,0,1
american center of krasnodar,https://www.facebook.com,2,1,0.33,2,0.6666666667,30,26,0,48,1,0,17,29,2.823529412,0,0
american express,https://hi.wikipedia.org,2,0,,0,0,29,22,269,837,0,3.111524164,432,308,1.9375,1.605947955,0
american family insurance,https://www.linkedin.com,2,1,0.33,1,0.33,14,22,85,506,1,5.952941176,11,97,46,0.1294117647,0
american red cross,https://www.redcrossblood.org,2,0,0,0,0,50,22,71,612,0,8.61971831,17,57,36,0.2394366197,1
"ameriprise financial services, inc.",https://www.ameripriseadvisors.com,2,0,0,0,0,46,29,6,586,0,97.66666667,5,2,117.2,0.8333333333,1
amgen,https://en.wikipedia.org,2,1,1,1,1,13,22,269,1377,1,5.118959108,91,188,15.13186813,0.3382899628,0
amway,https://www.amwayglobal.com,2,1,1,1,1,54,22,112,930,1,8.303571429,0,0,0,0,1
anheuser-busch inbev,https://en.wikipedia.org,2,0,0,1,1,19,22,269,1377,1,5.118959108,91,188,15.13186813,0.3382899628,0
"anthem, inc.",https://en.wikipedia.org,2,1,0.5,1,0.5,21,20,269,1377,1,5.118959108,91,188,15.13186813,0.3382899628,0
anz,https://www.anz.com.au,2,1,1,1,1,52,19,131,2407,1,18.3740458,28,99,85.96428571,0.213740458,1
aon,https://www.aon.com,2,1,1,3,3,7,16,31,593,1,19.12903226,0,0,0,0,1
