Company Name,Company url,Rank of page,Appeared in Title,Ttile and normalized(3),Number of words in company name appering in meta tag(4),"Number of words in company name appering in meta tag,normalized(5)",Levenshtein title and name(6),Levenshtein distance(Domain-Name)7,no. of links(8),Word Count(9),Does Company name apperars in html(10),Ratio of words in the site content to all links on the page(11),Response Variable
bbva,https://www.bbva.es,3,0,0,0,0,38,15,84,1539,0,18.32142857,1
bd,https://www.linkedin.com,3,1,1,3,3,12,23,108,506,1,4.685185185,0
bechtel corporation,https://www.linkedin.com,3,1,0.5,0,0,13,22,108,506,1,4.685185185,0
bell,https://www.bellflight.com,3,1,1,0,0,35,22,37,367,1,9.918918919,1
best buy,https://www.facebook.com,3,1,0.5,1,0.5,29,22,0,48,1,0,0
bhp billiton,https://en.wikipedia.org,3,0,0,2,1,13,20,272,1377,1,5.0625,0
"biocolloids fate and transport in environmental systems, network biomet",https://gr.linkedin.com,3,0,0,2,0.5,63,61,108,506,1,4.685185185,0
blackrock,https://en.wikipedia.org,3,1,1,1,1,14,22,272,1377,1,5.0625,0
3M,https://www.3mindia.in,4,2,2,3,3,37,21,85,21,1,0.2470588235,1
ABB,https://www.linkedin.com,4,0,0,1,1,27,24,108,506,1,4.685185185,0
Abbott,https://abbottnutrition.com,4,1,1,1,1,54,22,37,340,1,9.189189189,1
AbbVie,https://www.facebook.com,4,0,0,2,2,9,23,0,48,1,0,0
ABN AMRO Bank N.V.,https://en.wikipedia.org,4,0,0,2,0.6666666667,30,22,255,1216,1,4.768627451,0
Absa,https://www.absa.co.zm,4,1,1,2,2,19,19,41,312,1,7.609756098,1
Accenture,https://in.linkedin.com,4,0,0,1,1,20,21,108,506,1,4.685185185,0
Accenture in India,https://in.linkedin.com,4,0,0,1,0.33,26,20,108,506,1,4.685185185,0
AccorHotels,https://www.facebook.com,4,0,0,1,1,9,22,0,48,1,0,0
Adecco,https://www.linkedin.com,4,0,0,1,1,25,21,108,506,1,4.685185185,0
ADIDAS,https://www.myntra.com,4,0,0,3,3,22,22,369,20,1,0.05420054201,0
Adobe,https://play.google.com,4,0,0,1,1,21,21,0,14303,1,0,0
ADP,https://adpemploymentreport.com,4,1,1,1,1,26,31,30,905,1,30.16666667,1
Advocare,https://www.advocaredoctors.com,4,1,1,1,1,15,24,37,644,1,17.40540541,1
AECOM,https://www.linkedin.com,4,0,0,1,1,27,24,108,506,1,4.685185185,0
Aerotek,https://www.facebook.com,4,0,0,2,2,8,22,0,48,1,0,0
Aetna,https://www.linkedin.com,4,0,0,2,2,25,22,108,506,1,4.685185185,0
Aflac,https://www.aflacgroupinsurance.com,4,1,1,1,1,49,31,10,314,1,31.4,1
Agilent Technologies,https://en.wikipedia.org,4,0,0,1,0.5,24,22,255,1216,1,4.768627451,0
AIG,https://www.linkedin.com,4,0,0,1,1,26,24,108,506,1,4.685185185,0
Aim,https://www.dictionary.com,4,0,0,1,1,12,24,83,687,1,8.277108434,0
Air France,www.airfrance.fr,4,1,1/2,1,0.5,9,10,0,0,1,0,1
Air Liquide,https://en.wikipedia.org,4,0,0,1,0.5,28,22,255,1216,1,4.768627451,0
Airbus,https://www.airbus.com,4,1,1,1,1,27,17,422,1636,1,3.876777251,1
Aker Solutions,https://hi-in.facebook.comAkerSolutions,4,1,1/2,2,1,27,27,0,0,1,0,0
Akzo Nobel,https://en.wikipedia.org,4,0,0,1,1,28,23,255,1216,1,4.768627451,0
Alberta Health Services,https://www.facebook.com,4,0,0,1,1,20,23,0,48,1,0,0
Alcon,https://www.novartis.com,4,0,0,2,2,22,22,0,738,1,0,1
Allergan,https://www.allergan.co.in,4,1,1,2,2,18,19,100,553,1,5.53,1
Allianz,https://www.bajajallianz.com,4,1,1,1,1,22,22,49,538,1,10.97959184,1
Allstate,https://www.linkedin.com,4,0,0,1,1,27,22,128,506,1,3.953125,0
Alstom,www.facebook.comA,4,0,0,1,1,15,15,0,1216,1,0,0
ALTRAN,https://en.wikipedia.org,4,0,0,1,1,32,24,255,1216,1,4.768627451,0
Amazon,https://en.wikipedia.org,4,0,0,1,1,30,22,255,1216,1,4.768627451,0
Amdocs,https://www.glassdoor.co.in,4,0,0,2,2,23,24,128,0,1,0,0
american,http://american-center-krasnodar.ru,4,0,0,0,0,8,27,18,36,0,2,0
American Airlines,https://www.facebook.com,4,0,0,1,0.5,16,23,0,48,1,0,0
American Express,https://www.instagram.com,4,0,0,1,0.5,23,23,0,0,1,0,0
American Family Insurance,https://en.wikipedia.org,4,0,0,1,1,26,24,255,1216,1,4.768627451,0
American Red Cross,https://hi-in.facebook.comredcross,4,0,0,1,0.33,27,27,0,0,1,0,0
Ameriprise Financial Services,https://www.linkedin.com,4,0,0,1,0.33,26,25,108,506,1,4.685185185,0
Amgen,https://www.facebook.com,4,0,0,1,1,9,23,0,48,1,0,0
Amway,https://en.wikipedia.org,4,0,0,2,2,30,22,255,1216,1,4.768627451,0
Anthem,https://www.anthem.com,4,1,1,1,1,58,17,117,22,1,0.188034188,1
ANZ,https://au.linkedin.com,4,0,0,1,1,36,23,108,506,1,4.685185185,0
Aon,https://www.linkedin.com,4,0,0,1,1,25,23,108,506,1,4.685185185,0
Apple,twitter.comapple,4,0,0,2,2,12,12,6,0,1,0,0
Applied Materials,https://www.youtube.com,4,0,0,2,1,16,21,13,22,1,1.692307692,0
Arbonne International,https://www.linkedin.com,4,0,0,1,0.5,21,22,108,506,1,4.685185185,0
Arcadis,https://in.linkedin.com,4,0,0,1,1,31,21,108,506,1,4.685185185,0
ArcelorMittal,https://www.linkedin.com,4,0,0,1,1,23,22,108,506,1,4.685185185,0
Arizona State University,https://studyabroad.shiksha.com,4,0,0,2,0.6666666667,45,28,311,2032,1,6.533762058,0
Army Reserve,https://www.goarmy.comrese,4,0,0,2,0.66,14,22,0,0,1,0,1
Arup,https://www.linkedin.com,4,0,0,1,1,25,23,108,506,1,4.685185185,0
Asda,https://asda-stores.custhelp.com,4,1,1,1,1,12,29,73,357,1,4.890410959,1
Association,https://www.iaf-world.org/site/,4,0,0,1,1,21,27,126,614,1,4.873015873,0
AstraZeneca,https://www.linkedin.com,4,0,0,1,1,25,20,108,506,1,4.685185185,0
AT&T,https://ru.wikipedia.orgwiki,4,0,0,1,1,28,28,255,0,1,0,0
Atkins,https://www.atkins.com,4,1,1,1,1,17,17,28,174,1,6.214285714,1
Atlas Copco,https://en.wikipedia.org,4,0,0,1,1,28,20,225,1216,1,5.404444444,0
Atos,https://en.wikipedia.org,4,0,0,1,1,30,22,225,1216,1,5.404444444,0
Auchan,https://www.linkedin.com,4,0,0,1,1,26,23,108,506,1,4.685185185,0
aucune,https://www.iaf-world.org/site/,4,1,1,1,1,44,29,126,614,1,4.873015873,0
Automation,https://www.emerson.com,4,0,0,1,1,20,19,28,14,1,0.5,0
autônoma,https://www.dicio.com.br,4,0,0,1,1,20,21,113,643,1,5.690265487,0
autonomo,https://www.collinsdictionary.comdictionaryauton,4,0,0,1,1,41,42,0,0,1,0,0
Aviva,https://en.wikipedia.org,4,0,0,2,2,30,22,225,1216,1,5.404444444,0
Avon,https://www.linkedin.com,4,0,0,1,1,25,23,108,506,1,4.685185185,0
AWS,https://searchaws.techtarget.com,4,0,0,1,1,32,32,0,1692,1,0,1
AXA,https://www.linkedin.com,4,0,0,1,1,27,24,108,506,1,4.685185185,0
Axis Bank,https://www.facebook.com,4,0,0,1,1,10,21,0,48,1,0,0
AYATAMA ENERGI,,4,0,0,1,1,19,14,0,506,1,0,0
BAE Systems,https://www.linkedin.com,4,0,0,1,0.5,25,23,0,6086,1,0,0
Baker Hughes,https://www.bakerhughesds.com,4,1,1,1,0.5,64,21,257,0,1,0,1
Banco do Brasil,https://twitter.combanc,4,0,0,1,0.33,22,22,6,1216,1,202.6666667,0
Bank,https://en.wikipedia.org,4,0,0,2,2,30,22,108,1489,1,13.78703704,0
bank,https://www.natwestgroup.com,4,0,0,,,12,27,155,87,0,0.5612903226,0
Bank Mandiri Persero Tbk PT,https://www.bloomberg.com,4,0,0,1,0.33,25,26,2,882,1,441,0
Bank of America,https://www.bofaml.com,4,1,1/3,3,1,55,20,65,1216,1,18.70769231,1
Bank of America Merrill Lynch,https://en.wikipedia.org,4,0,0,3,1,28,26,255,1216,1,4.768627451,0
Bank of New York Mellon,https://en.wikipedia.org,4,0,0,1,0.33,27,22,255,514,1,2.015686275,0
Banner Health,https://www.bannerhealthnetwork.com,4,1,1/2,1,0.5,26,26,0,1216,1,0,1
Barclays Investment Bank,https://en.wikipedia.org,4,0,0,1,0.33,29,23,255,6,1,0.02352941176,0
BASF,https://hi-in.facebook.comरसायन कंपनी,4,0,0,1,1,37,37,0,506,1,0,0
BAT,https://www.linkedin.com,4,0,0,2,2,27,24,108,506,1,4.685185185,0
BB&T,https://www.linkedin.com,4,0,0,1,1,27,24,108,893,1,8.268518519,0
BBVA,https://www.bbvausa.com,4,1,1,1,1,43,23,58,943,1,16.25862069,1
BD,https://www.bdbiosciences.com,4,0,0,1,1,29,29,98,0,1,0,1
Bechtel Corporation,https://hi-in.facebook.combechtelcorp,4,0,0,2,1,32,32,0,0,1,0,0
